Gene_model,Chromosome,Interval,Annotations_clean,IPR_terms,GO_terms
Glyma.14G042000,Gm14,3201680-3205559,alcohol dehydrogenase 1 -like)-binding domain); ,IPR002085;IPR011032;IPR013149;IPR016040,GO:0008270;GO:0016491;GO:0055114
Glyma.14G042100,Gm14,3207281-3210893,receptor-like protein kinase 2,IPR001611;IPR003591;IPR013210;IPR025875,GO:0005515
Glyma.14G042300,Gm14,3217877-3220832,receptor-like protein kinase 2; ,IPR001611;IPR003591;IPR025875,GO:0005515
Glyma.14G042666,Gm14,3261796-3264583,receptor-like protein kinase 2,IPR001611;IPR003591,GO:0005515
Glyma.14G043032,Gm14,3293183-3296047,receptor-like protein kinase 2,IPR001611;IPR003591;IPR013210;IPR025875,GO:0005515
Glyma.14G043400,Gm14,3330273-3336316,T-complex protein 1 subunit eta-like [Glycine max],IPR002423;IPR027409;IPR027410;IPR027413,GO:0005524;GO:0006457;GO:0044267;GO:0051082
Glyma.14G043500,Gm14,3338380-3342353,trans-2-enoyl-CoA reductase; ,IPR001104,GO:0005737;GO:0006629;GO:0016021
Glyma.14G043600,Gm14,3345201-3347066,UDP-Glycosyltransferase superfamily protein;,IPR002213,GO:0008152
Glyma.14G043700,Gm14,3348493-3350311,UDP-Glycosyltransferase superfamily protein;,IPR002213,GO:0008152
Glyma.14G043851,Gm14,3352357-3352786,Unknown protein,NA,NA
Glyma.14G043875,Gm14,3353236-3354338,UDP-Glycosyltransferase superfamily protein;,IPR002213,GO:0008152
Glyma.14G043900,Gm14,3354833-3360652,protein FAR1-RELATED SEQUENCE 3-like isoform X2 [Glycine max]; ,IPR004330;IPR007527;IPR018289,GO:0008270
Glyma.14G044000,Gm14,3366137-3369108,chloride conductance regulatory protein ICln-like isoform X3 [Glycine max];,IPR003521,GO:0000387
Glyma.14G044100,Gm14,3370103-3371474,40S ribosomal protein S20-2,IPR001848;IPR027486,GO:0003735;GO:0005840;GO:0006412;GO:0015935
Glyma.14G044200,Gm14,3375191-3377380,polygalacturonase-like [Glycine max]; ,IPR000743;IPR011050,GO:0004650;GO:0005975
Glyma.14G044300,Gm14,3378488-3381386,F-box/WD repeat-containing protein 7-like [Glycine max]; ,IPR001810;IPR015943;IPR020472,GO:0005515
Glyma.14G044400,Gm14,3385143-3388821,receptor-like protein kinase 2,IPR001611;IPR003591;IPR013210;IPR025875,GO:0005515
Glyma.14G044500,Gm14,3390859-3403530,ubiquitin carboxyl-terminal hydrolase-like protein,IPR008974;IPR024729;IPR028889,GO:0005515;GO:0006511
Glyma.14G044551,Gm14,3409549-3410226,"pentatricopeptide repeat-containing protein At2g13420, mitochondrial-like [Glycine max]",NA,NA
Glyma.14G044600,Gm14,3410227-3411924,Pentatricopeptide repeat (PPR-like) superfamily protein;,IPR002885,NA
Glyma.14G044700,Gm14,3413403-3421959,Protein kinase superfamily protein,IPR011009;IPR027085,GO:0004672;GO:0004674;GO:0005524;GO:0006468
Glyma.14G044800,Gm14,3424372-3428711,rRNA-processing protein UTP23 homolog [Glycine max];,IPR006984,GO:0032040
Glyma.14G044900,Gm14,3431230-3451871,structural maintenance of chromosome 3,IPR003395;IPR010935;IPR027417,GO:0005515;GO:0005524;GO:0005694;GO:0051276
Glyma.14G045000,Gm14,3453468-3458301,lysosomal beta glucosidase-like isoform X1 [Glycine max]; ,IPR002772;IPR017853;IPR026892,GO:0005975
Glyma.14G045100,Gm14,3461226-3470891,"aldehyde oxidase 4;  ,",IPR012675;IPR016166;IPR016208,GO:0003824;GO:0005506;GO:0009055;GO:0016491;GO:0046872;GO:0050660;GO:0051536;GO:0055114
Glyma.14G045200,Gm14,3476424-3479945,17.8 kDa class I heat shock protein-like [Glycine max];,IPR008978,NA
Glyma.14G045300,Gm14,3482309-3483974,17.8 kDa class I heat shock protein-like [Glycine max];,IPR008978,NA
Glyma.14G045400,Gm14,3485634-3487752,17.8 kDa class I heat shock protein-like [Glycine max];,IPR008978,NA
Glyma.14G045450,Gm14,3487715-3490818,molybdopterin biosynthesis CNX1 protein / molybdenum cofactor biosynthesis enzyme CNX1 (CNX1);,IPR001453,GO:0006777
Glyma.14G045500,Gm14,3492745-3497607,BTB-POZ and MATH domain 4,IPR008974;IPR011333,GO:0005515
Glyma.14G045600,Gm14,3498735-3506750,KRR1 small subunit processome component;,IPR024166,NA
Glyma.14G045700,Gm14,3506988-3511997,Unknown protein,NA,NA
Glyma.14G045801,Gm14,3515148-3518419,protein FAR1-RELATED SEQUENCE 11-like isoform X1 [Glycine max]; ,IPR004330;IPR007527;IPR018289,GO:0008270
Glyma.14G045900,Gm14,3519185-3523308,"3-hydroxy-3-methylglutaryl-coenzyme A reductase-like protein; activity),",IPR002202;IPR023074;IPR023282,GO:0004420;GO:0008299;GO:0015936;GO:0016021;GO:0050661;GO:0050662;GO:0055114
Glyma.14G046000,Gm14,3526171-3529158,receptor-like protein kinase 2,IPR001611;IPR003591;IPR013210;IPR025875,GO:0005515
Glyma.14G046100,Gm14,3529281-3535310,ubiquitin fusion degradation 1;,IPR004854,GO:0006511
Glyma.14G046200,Gm14,3538694-3543870,receptor kinase 1,IPR011009;IPR013320,GO:0004672;GO:0004674;GO:0005524;GO:0006468
Glyma.14G046300,Gm14,3545622-3547225,Protein kinase superfamily protein; ,IPR011009,GO:0004672;GO:0005524;GO:0006468
Glyma.14G046400,Gm14,3556188-3556801,CLE01 protein n=1 Tax=Glycine max RepID=E9L547_SOYBN,NA,NA
Glyma.14G046500,Gm14,3565371-3568686,"Coiled-coil domain-containing protein 21, putative isoform 1 n=1 Tax=Theobroma cacao RepID=UPI00042B0563",NA,NA
Glyma.14G046600,Gm14,3569409-3577178,FAD dependent oxidoreductase n=1 Tax=cyanobacterium PCC 7702 RepID=UPI00036A198D,NA,NA
Glyma.14G046700,Gm14,3577833-3579405,uncharacterized protein LOC100526901 isoform X3 [Glycine max];,IPR014710,NA
Glyma.14G046800,Gm14,3579553-3583263,Protein phosphatase 2A regulatory B subunit family protein,IPR002554;IPR016024,GO:0000159;GO:0005488;GO:0007165;GO:0008601
Glyma.14G046900,Gm14,3590885-3593551,UBX domain-containing protein; ,IPR001012;IPR009060;IPR012989,GO:0005515
Glyma.14G047000,Gm14,3602236-3607159,homeobox protein knotted-1-like 2-like [Glycine max],IPR005539;IPR005540;IPR005541;IPR009057,GO:0003677;GO:0003700;GO:0005634;GO:0043565
Glyma.14G047100,Gm14,3610379-3611907,50S ribosomal L30-like protein,IPR005996;IPR016082,GO:0003735;GO:0006412;GO:0015934
Glyma.14G047200,Gm14,3611954-3617138,nitrate transporter 1.1,IPR000109;IPR016196,GO:0005215;GO:0006810;GO:0016020
Glyma.14G047301,Gm14,3629279-3629473,Unknown protein,NA,NA
Glyma.14G047400,Gm14,3630712-3635135,uncharacterized protein LOC100801460 isoform X1 [Glycine max];,IPR018946,NA
Glyma.14G047500,Gm14,3640622-3648035,endoglucanase 11 [Glycine max]; ,IPR001701;IPR008928,GO:0003824;GO:0005975
Glyma.14G047700,Gm14,3663960-3672143,nucleobase-ascorbate transporter 7,IPR006043,GO:0005215;GO:0006810;GO:0016020;GO:0055085
Glyma.14G047800,Gm14,3679020-3687881,subtilisin-like serine protease 2,IPR015500;IPR023828,GO:0004252;GO:0006508;GO:0042802;GO:0043086
Glyma.14G047900,Gm14,3697026-3700657,"LRR receptor-like kinase family protein;  ,",IPR001611;IPR003591;IPR011009;IPR013210;IPR013320;IPR025875,GO:0004672;GO:0004713;GO:0005515;GO:0005524;GO:0006468
Glyma.14G048000,Gm14,3734475-3739672,subtilisin-like serine protease 2,IPR015500;IPR023828,GO:0004252;GO:0006508;GO:0042802;GO:0043086
Glyma.14G048100,Gm14,3752821-3756559,"receptor-like protein kinase 2;  ,",IPR001611;IPR003591;IPR011009;IPR013210;IPR013320;IPR025875,GO:0004672;GO:0004713;GO:0005515;GO:0005524;GO:0006468
Glyma.14G048200,Gm14,3760042-3768470,subtilisin-like serine protease 2,IPR015500;IPR023828,GO:0004252;GO:0006508;GO:0042802;GO:0043086
Glyma.14G048302,Gm14,3779847-3783777,"LRR receptor-like kinase;  ,",IPR001611;IPR003591;IPR011009;IPR013210;IPR013320;IPR025875,GO:0004672;GO:0004713;GO:0005515;GO:0005524;GO:0006468
Glyma.14G048400,Gm14,3786620-3790359,"glucan endo-1,3-beta-glucosidase 12-like [Glycine max]; ",IPR000490;IPR012946;IPR017853,GO:0005975
Glyma.14G048600,Gm14,3799003-3805602,"Disease resistance protein (TIR-NBS-LRR class) family; domain),",IPR000157;IPR000767;IPR001611;IPR027417,GO:0005515;GO:0006952;GO:0007165;GO:0043531
Glyma.14G048700,Gm14,3807045-3809327,UPF0451 C17orf61-like protein;,IPR006696,NA
Glyma.14G048800,Gm14,3810112-3813986,vacuolar protein sorting-associated protein,IPR000979;IPR024654,GO:0030904
Glyma.14G048900,Gm14,3818935-3820438,1-aminocyclopropane-1-carboxylate oxidase,IPR005123;IPR026992;IPR027443,GO:0016491;GO:0055114
Glyma.14G049000,Gm14,3823192-3825175,1-aminocyclopropane-1-carboxylate oxidase,IPR005123;IPR026992;IPR027443,GO:0016491;GO:0055114
Glyma.14G049150,Gm14,3826414-3827182,hypothetical protein,NA,NA
Glyma.14G049275,Gm14,3830317-3832017,1-aminocyclopropane-1-carboxylate oxidase,IPR005123;IPR026992;IPR027443,GO:0016491;GO:0055114
Glyma.14G049400,Gm14,3841290-3847290,ankyrin repeat-containing protein At3g12360-like [Glycine max],IPR020683;IPR026961,GO:0005515
Glyma.14G049500,Gm14,3860426-3863055,1-aminocyclopropane-1-carboxylate oxidase,IPR005123;IPR026992;IPR027443,GO:0016491;GO:0055114
Glyma.14G049600,Gm14,3871296-3874648,Tyrosine phosphatase family protein; ,IPR004861,GO:0004725;GO:0016311;GO:0016791
Glyma.14G049700,Gm14,3903681-3912761,E3 ubiquitin-protein ligase COP1-like [Glycine max]; ,IPR013083;IPR015943,GO:0005515;GO:0008270
Glyma.14G049900,Gm14,3924415-3929700,alpha-galactosidase 2; ,IPR000111;IPR013780,GO:0003824;GO:0005975
Glyma.14G050000,Gm14,3945009-3949825,zinc finger CCCH domain protein;,IPR000571,GO:0046872
Glyma.14G050100,Gm14,3955547-3956763,ethylene-responsive transcription factor 3 [Glycine max],IPR016177,GO:0003677;GO:0003700
Glyma.14G050200,Gm14,3962949-3973271,E3 ubiquitin-protein ligase BRE1-like protein,IPR013083,GO:0005515;GO:0008270
Glyma.14G050300,Gm14,3973767-3976745,triacylglycerol lipase 2 isoform X2 [Glycine max],NA,NA
Glyma.14G050400,Gm14,3979195-3981937,lipase 1; ,IPR000073;IPR006693;IPR025483,GO:0006629
Glyma.14G050600,Gm14,3985464-3991014,protein disulfide isomerase-like protein,IPR005746;IPR012336,GO:0006662;GO:0015035;GO:0016853;GO:0045454
Glyma.14G050700,Gm14,3990565-3997721,"centromere/kinetochore protein, putative (ZW10)",IPR009361,GO:0005634;GO:0007067
Glyma.14G050800,Gm14,3998171-4001798,Mitochondrial transcription termination factor family protein;,IPR003690,NA
Glyma.14G050900,Gm14,4001906-4004703,GDSL-like Lipase/Acylhydrolase superfamily protein,IPR001087,GO:0006629;GO:0016787
Glyma.14G051000,Gm14,4016034-4020330,GDSL-like Lipase/Acylhydrolase superfamily protein,IPR001087,GO:0006629;GO:0016787
Glyma.14G051100,Gm14,4025963-4026895,hypothetical protein,NA,NA
Glyma.14G051200,Gm14,4029579-4035773,dual specificity protein phosphatase 1,IPR000340;IPR024950,GO:0004725;GO:0006470;GO:0008138;GO:0016311;GO:0016791
Glyma.14G051300,Gm14,4044645-4049197,nuclear ribonuclease Z;,IPR001279,GO:0016787
Glyma.14G051400,Gm14,4050049-4055356,lipid-binding serum glycoprotein family protein;,IPR017943,GO:0008289
Glyma.14G051500,Gm14,4057669-4061555,protein IQ-DOMAIN 1-like isoform X2 [Glycine max];,IPR000048,GO:0005515
Glyma.14G051551,Gm14,4067310-4068727,Heavy metal transport/detoxification superfamily protein,NA,NA
Glyma.14G051600,Gm14,4073819-4075020,Heavy metal transport/detoxification superfamily protein,IPR006121,GO:0030001;GO:0046872
Glyma.14G051701,Gm14,4081176-4082350,Heavy metal transport/detoxification superfamily protein,NA,NA
Glyma.14G051800,Gm14,4086486-4087425,Calcium-binding EF-hand family protein;,IPR011992,GO:0005509
Glyma.14G051900,Gm14,4103475-4105090,Unknown protein;,IPR010800,NA
Glyma.14G052000,Gm14,4107677-4108821,Unknown protein;,IPR010800,NA
Glyma.14G052067,Gm14,4121928-4123397,Unknown protein,NA,NA
Glyma.14G052100,Gm14,4131826-4133435,uncharacterized protein LOC100795607 isoform X5 [Glycine max];,IPR010800,NA
Glyma.14G052200,Gm14,4141232-4143001,Unknown protein;,IPR010800,NA
Glyma.14G052300,Gm14,4151745-4152810,nodulin-16-like [Glycine max],NA,NA
Glyma.14G052400,Gm14,4156278-4158172,Nodulin-24 n=14 Tax=Glycine max RepID=NO24_SOYBN,NA,NA
Glyma.14G052500,Gm14,4167282-4168248,Unknown protein,NA,NA
Glyma.14G052600,Gm14,4174452-4175287,glycine-rich cell wall structural protein-like [Glycine max],NA,NA
Glyma.14G052701,Gm14,4189207-4191352,leguminosin group485 secreted peptide,NA,NA
Glyma.14G052801,Gm14,4199035-4202517,glycine-rich cell wall structural protein 1.8 [Glycine max],NA,NA
Glyma.14G052902,Gm14,4206218-4207649,cold and drought-regulated protein CORA-like isoform X1 [Glycine max];,IPR010800,NA
Glyma.14G053000,Gm14,4212017-4212953,unknown protein; INVOLVED IN: biological_process unknown; LOCATED IN: endomembrane system; EXPRESSED IN: 16 plant structures; EXPRESSED DURING: 6 growth stages,NA,NA
Glyma.14G053200,Gm14,4230458-4232791,protein transport protein Sec61 subunit gamma [Glycine max],IPR001901;IPR023391,GO:0006605;GO:0006886;GO:0015031;GO:0015450;GO:0016020
Glyma.14G053300,Gm14,4235635-4241537,indole-3-glycerol phosphate synthase,IPR013785,GO:0003824;GO:0004425;GO:0006568;GO:0008152
Glyma.14G053400,Gm14,4243458-4246066,WEB family protein At2g40480-like [Glycine max];,IPR008545,NA
Glyma.14G053500,Gm14,4250831-4252532,putative protein TPRXL-like isoform X1 [Glycine max],NA,NA
Glyma.14G053600,Gm14,4255387-4257973,Peroxidase superfamily protein,IPR010255,GO:0004601;GO:0006979;GO:0020037;GO:0055114
Glyma.14G053700,Gm14,4268097-4271608,peroxidase 4 [Glycine max],IPR010255,GO:0004601;GO:0006979;GO:0020037;GO:0055114
Glyma.14G053800,Gm14,4271658-4274389,unknown protein; Has 109 Blast hits to 83 proteins in 41 species: Archae - 0; Bacteria - 6; Metazoa - 18; Fungi - 20; Plants - 21; Viruses - 0; Other Eukaryotes - 44 (source: NCBI BLink).,NA,NA
Glyma.14G053900,Gm14,4280658-4283713,transcription factor bHLH35-like [Glycine max]; domain);,IPR011598,GO:0046983
Glyma.14G054045,Gm14,4295070-4296938,protein LURP-one-related 14-like [Glycine max];,IPR025659,NA
Glyma.14G054190,Gm14,4297903-4300699,Transmembrane amino acid transporter family protein;,IPR013057,NA
Glyma.14G054335,Gm14,4303701-4304582,Unknown protein,NA,NA
Glyma.14G054480,Gm14,4317118-4323822,Transmembrane amino acid transporter family protein;,IPR013057,NA
Glyma.14G054625,Gm14,4325448-4328662,alpha-soluble NSF attachment protein 2,IPR000744,GO:0005515;GO:0006886
Glyma.14G054770,Gm14,4334831-4336122,"DNA topoisomerase, type IA, core",IPR000380;IPR023405,GO:0003677;GO:0003916;GO:0003917;GO:0006265
Glyma.14G054915,Gm14,4338984-4340022,copper transport protein CCH [Glycine max],IPR006121,GO:0030001;GO:0046872
Glyma.14G055060,Gm14,4342477-4343225,dehydration-induced protein (ERD15),NA,NA
Glyma.14G055205,Gm14,4343879-4346490,"prephenate dehydrogenase family protein; -binding domain); activity),",IPR003099;IPR008927;IPR016040,GO:0004665;GO:0006571;GO:0008977;GO:0055114
Glyma.14G055350,Gm14,4350891-4354054,unknown protein,NA,NA
Glyma.14G055500,Gm14,4365260-4367922,PRA1 (Prenylated rab acceptor) family protein;,IPR004895,NA
Glyma.14G055601,Gm14,4371345-4375678,Unknown protein,NA,NA
Glyma.14G055700,Gm14,4377489-4379810,plant-specific B3-DNA-binding domain protein;,IPR015300,GO:0003677
Glyma.14G055800,Gm14,4381372-4384129,cell division cycle-like protein;,IPR009772,NA
Glyma.14G055850,Gm14,4383136-4383635,Unknown protein,NA,NA
Glyma.14G055900,Gm14,4385105-4388343,receptor-like kinase 1,IPR001611;IPR003591;IPR011009;IPR013210,GO:0004672;GO:0005515;GO:0005524;GO:0006468
Glyma.14G056000,Gm14,4388588-4394370,sorting nexin 2B,IPR001683;IPR015404,GO:0035091
Glyma.14G056100,Gm14,4405475-4409490,laccase 5,IPR017761,GO:0005507;GO:0016491;GO:0046274;GO:0048046;GO:0052716;GO:0055114
Glyma.14G056200,Gm14,4412426-4414941,ethylene-responsive transcription factor 13-like [Glycine max],IPR016177,GO:0003677;GO:0003700
Glyma.14G056250,Gm14,4426398-4434922,chromodomain-helicase-DNA-binding protein 1-like [Glycine max],IPR000330;IPR001650;IPR027417,GO:0003676;GO:0003677;GO:0004386;GO:0005524
Glyma.14G056300,Gm14,4440868-4442088,abscisic acid receptor,IPR010255;IPR019587;IPR023393,GO:0004601;GO:0006979;GO:0020037;GO:0055114
Glyma.14G056500,Gm14,4454450-4462704,cytosolic endo-beta-N-acetylglucosaminidase-like [Glycine max],IPR005201,GO:0005737;GO:0033925
Glyma.14G056600,Gm14,4467013-4475484,cytosolic endo-beta-N-acetylglucosaminidase-like [Glycine max],IPR005201;IPR013781,GO:0005737;GO:0005975;GO:0033925
Glyma.14G056700,Gm14,4478304-4479331,LOB domain-containing protein 4;,IPR004883,NA
Glyma.14G056800,Gm14,4494798-4497408,ferritin 4,IPR001519;IPR008331;IPR009078,GO:0006826;GO:0006879;GO:0008199
Glyma.14G056900,Gm14,4503295-4506083,Ribosomal protein S4 (RPS4A) family protein,IPR000876,GO:0003723;GO:0003735;GO:0005622;GO:0005840;GO:0006412
Glyma.14G057000,Gm14,4517751-4520554,Peptide-N4-(N-acetyl-beta-glucosaminyl)asparagine amidase A protein; asparagine amidase A),IPR021102,NA
Glyma.14G057100,Gm14,4519778-4524868,probable methyltransferase PMT23-like [Glycine max];,IPR004159,GO:0008168
Glyma.14G057200,Gm14,4527371-4532901,sister chromatid cohesion 1 protein 4; ,IPR006910;IPR023093,GO:0000228;GO:0005515
Glyma.14G057300,Gm14,4535515-4537217,uncharacterized protein At5g39865-like [Glycine max]; ,IPR012336,GO:0009055;GO:0015035;GO:0045454
Glyma.14G057400,Gm14,4542207-4546999,Protein kinase family protein,IPR001611;IPR011009;IPR013210;IPR013320,GO:0004672;GO:0005515;GO:0005524;GO:0006468
Glyma.14G057500,Gm14,4547970-4552133,"sorting and assembly machinery component 50 homolog [Glycine max]; ),",IPR000184;IPR010827,GO:0019867
Glyma.14G057600,Gm14,4558762-4559658,LOB domain-containing protein 21;,IPR004883,NA
Glyma.14G057650,Gm14,4559413-4560448,Unknown protein,NA,NA
Glyma.14G057700,Gm14,4565074-4567615,omega-hydroxypalmitate O-feruloyl transferase-like [Glycine max],IPR003480;IPR023213,NA
Glyma.14G057800,Gm14,4567881-4574735,uncharacterized protein LOC102660642 isoform X1 [Glycine max],NA,NA
Glyma.14G057900,Gm14,4575488-4581378,ethylene-responsive transcription factor 4-like [Glycine max],IPR016177,GO:0003677;GO:0003700
Glyma.14G058000,Gm14,4585949-4586837,RING-H2 finger protein 2B,IPR013083,GO:0005515;GO:0008270
Glyma.14G058100,Gm14,4594501-4596296,myb transcription factor,IPR009057,GO:0003677;GO:0003682
Glyma.14G058200,Gm14,4602297-4604145,transcription factor bHLH51 [Glycine max]; domain);,IPR011598,GO:0046983
Glyma.14G058300,Gm14,4609909-4624571,"Clathrin, heavy chain",IPR016341,GO:0005198;GO:0005488;GO:0005515;GO:0006886;GO:0016192;GO:0030130;GO:0030132
Glyma.14G058400,Gm14,4627670-4658954,anaphase-promoting complex subunit 1;,IPR024990,GO:0005680
Glyma.14G058500,Gm14,4659285-4662999,protein YLS7-like [Glycine max]; ,IPR007110;IPR025846;IPR026057,GO:0005515
Glyma.14G058602,Gm14,4669003-4672773,2-oxoglutarate (2OG) and Fe(II)-dependent oxygenase superfamily protein;,IPR027443,NA
Glyma.14G058652,Gm14,4678576-4680453,syntaxin-binding protein 5-like [Glycine max];,IPR015943,GO:0005515
Glyma.14G058676,Gm14,4681767-4682072,Unknown protein,NA,NA
Glyma.14G058700,Gm14,4691930-4695760,2-oxoglutarate (2OG) and Fe(II)-dependent oxygenase superfamily protein,IPR002283;IPR026992;IPR027443,GO:0005506;GO:0016491;GO:0055114
Glyma.14G058900,Gm14,4710701-4715627,Protein kinase superfamily protein,IPR011009,GO:0004672;GO:0004674;GO:0005524;GO:0006468
Glyma.14G059000,Gm14,4722727-4727610,SCP1-like small phosphatase 5; ,IPR004274;IPR023214,GO:0005515;GO:0016791
Glyma.14G059100,Gm14,4737117-4740063,Protein kinase superfamily protein,IPR009091;IPR011009;IPR013320,GO:0004672;GO:0004674;GO:0005524;GO:0006468
Glyma.14G059200,Gm14,4742220-4747257,phospholipase C 2,IPR001192;IPR011992,GO:0004435;GO:0005509;GO:0005515;GO:0006629;GO:0007165;GO:0008081;GO:0035556
Glyma.14G059300,Gm14,4751461-4756811,phosphoinositide phospholipase C 6-like [Glycine max],IPR001192;IPR011992,GO:0004435;GO:0005509;GO:0005515;GO:0006629;GO:0007165;GO:0008081;GO:0035556
Glyma.14G059400,Gm14,4760873-4765215,phosphoinositide phospholipase C 6-like [Glycine max],IPR001192;IPR011992,GO:0004435;GO:0005509;GO:0005515;GO:0006629;GO:0007165;GO:0008081;GO:0035556
Glyma.14G059501,Gm14,4771302-4772107,protein EARLY FLOWERING 4-like [Glycine max];,IPR009741,NA
Glyma.14G059732,Gm14,4778673-4780210,phosphoinositide phospholipase C 6-like [Glycine max],IPR001192;IPR011992,GO:0004435;GO:0005509;GO:0006629;GO:0008081;GO:0035556
Glyma.14G059800,Gm14,4787581-4791850,Alpha/beta hydrolase related protein,NA,NA
Glyma.14G059900,Gm14,4791907-4799370,Cytochrome P450 superfamily protein; ,IPR001128,GO:0005506;GO:0020037;GO:0055114
Glyma.14G060000,Gm14,4816638-4819674,protein yippee-like isoform 2 [Glycine max];,IPR004910,NA
Glyma.14G060100,Gm14,4821932-4828557,flocculation protein FLO11-like isoform X2 [Glycine max],NA,NA
Glyma.14G060200,Gm14,4830933-4831923,Pleckstrin homology (PH) domain superfamily protein;,IPR011993,NA
Glyma.14G060300,Gm14,4833054-4837107,ATP binding/protein serine/threonine kinase [Glycine max]; ,IPR001611;IPR003591;IPR011009;IPR013210;IPR013320,GO:0004672;GO:0004674;GO:0005515;GO:0005524;GO:0006468
Glyma.14G060400,Gm14,4854978-4858807,ATP binding/protein serine/threonine kinase [Glycine max],IPR001611;IPR003591;IPR011009;IPR013210,GO:0004672;GO:0004674;GO:0005515;GO:0005524;GO:0006468
Glyma.14G060500,Gm14,4862017-4867501,Peptidase M50 family protein,IPR008915,GO:0004222;GO:0006508
Glyma.14G060601,Gm14,4870567-4872841,uncharacterized protein LOC100778316 isoform X2 [Glycine max];,IPR018848,GO:0018024
Glyma.14G060700,Gm14,4872435-4878691,auxin transporter-like protein 1-like [Glycine max];,IPR013057,NA
Glyma.14G060801,Gm14,4889097-4894477,syntaxin-31-like [Glycine max],IPR010989,GO:0005484;GO:0005515;GO:0006886;GO:0016020;GO:0016192
Glyma.14G060900,Gm14,4894590-4899352,60S acidic ribosomal protein P0-1,IPR001790,GO:0005622;GO:0042254
Glyma.14G061100,Gm14,4900437-4904881,60S acidic ribosomal protein P0-1,IPR001790;IPR001813,GO:0003735;GO:0005622;GO:0005840;GO:0006414;GO:0042254
Glyma.14G061200,Gm14,4909415-4911239,nematode resistance protein-like HSPRO2-like [Glycine max],IPR009743;IPR009869,NA
Glyma.14G061300,Gm14,4916698-4919444,Tetratricopeptide repeat (TPR)-like superfamily protein;,IPR011990,GO:0005515
Glyma.14G061400,Gm14,4919541-4925019,exostosin-2-like [Glycine max],IPR004263;IPR015338,GO:0031227
Glyma.14G061500,Gm14,4933279-4935805,plasma membrane intrinsic protein 1; 4,IPR000425;IPR023271,GO:0005215;GO:0006810;GO:0016020
Glyma.14G061600,Gm14,4946700-4950431,eukaryotic translation initiation factor 2,IPR000555;IPR024969;IPR027531,GO:0003743;GO:0005515;GO:0005737;GO:0005852
Glyma.14G061700,Gm14,4951455-4952714,fasciclin domain protein;,IPR000782,NA
Glyma.14G061800,Gm14,4958891-4960642,HXXXD-type acyl-transferase family protein,IPR003480;IPR023213,NA
Glyma.14G061900,Gm14,4986048-4989903,Microsomal signal peptidase 25 kDa subunit (SPC25),IPR009582,GO:0005787;GO:0006465;GO:0008233;GO:0016021
Glyma.14G062000,Gm14,4996235-5003209,unknown protein; Has 978 Blast hits to 254 proteins in 81 species: Archae - 0; Bacteria - 8; Metazoa - 109; Fungi - 53; Plants - 41; Viruses - 0; Other Eukaryotes - 767 (source: NCBI BLink).,NA,NA
Glyma.14G062100,Gm14,5014447-5020326,transport inhibitor response 1-like protein-like [Glycine max];,IPR006553,NA
Glyma.14G062200,Gm14,5025319-5029256,MYB transcription factor MYB75 [Glycine max],IPR009057,GO:0003677;GO:0003682
Glyma.14G062300,Gm14,5030879-5034738,laccase 10,IPR017761,GO:0005507;GO:0016491;GO:0046274;GO:0048046;GO:0052716;GO:0055114
Glyma.14G062400,Gm14,5037447-5038742,Polyketide cyclase/dehydrase and lipid transport superfamily protein,IPR019587;IPR023393,NA
Glyma.14G062500,Gm14,5041228-5046381,adenylosuccinate lyase,IPR000362;IPR008948;IPR024083,GO:0003824;GO:0006188;GO:0009152
Glyma.14G062600,Gm14,5047399-5050616,acid phosphatase 1-like [Glycine max]; );,IPR005519,GO:0003993
Glyma.14G062700,Gm14,5052622-5055592,GATA type zinc finger transcription factor family protein;,IPR001781,GO:0008270
Glyma.14G062800,Gm14,5056137-5059716,probable sugar phosphate/phosphate translocator [Glycine max],IPR000620;IPR004853,GO:0016020
Glyma.14G062900,Gm14,5066160-5068967,Ribosomal protein L35Ae family protein,IPR001780;IPR009000,GO:0003735;GO:0005622;GO:0005840;GO:0006412
Glyma.14G063000,Gm14,5070590-5074583,uncharacterized protein At1g04910-like isoform X1 [Glycine max];,IPR019378,NA
Glyma.14G063100,Gm14,5075223-5078449,immediate early response 3-interacting protein 1 isoform X3 [Glycine max];,IPR013880,NA
Glyma.14G063200,Gm14,5079751-5083846,transmembrane amino acid transporter family protein;,IPR013057,NA
Glyma.14G063300,Gm14,5092953-5093686,Unknown protein,NA,NA
Glyma.14G063400,Gm14,5099909-5104690,myb transcription factor,IPR009057,GO:0003677;GO:0003682
Glyma.14G063500,Gm14,5107606-5112582,RING/FYVE/PHD zinc finger superfamily protein,IPR011016;IPR013083,GO:0008270
Glyma.14G063600,Gm14,5118956-5123147,uncharacterized protein LOC100820581 [Glycine max];,IPR006873,NA
Glyma.14G063700,Gm14,5126023-5126743,17.6 kDa class II heat shock protein;,IPR008978,NA
Glyma.14G063800,Gm14,5127526-5128383,18.2 kDa class I heat shock protein [Glycine max];,IPR008978,NA
Glyma.14G063900,Gm14,5134999-5137517,uncharacterized protein LOC100781579 [Glycine max],NA,NA
Glyma.14G064000,Gm14,5164522-5168025,ROP guanine nucleotide exchange factor 5;,IPR005512,GO:0005089
Glyma.14G064100,Gm14,5169252-5173589,vitellogenin-2-like isoform X1 [Glycine max],NA,NA
Glyma.14G064150,Gm14,5182142-5187291,subtilisin-like serine protease 2,IPR015500,GO:0004252;GO:0006508
